First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
1/4/2020,Obstruction,NW 46th St and 15th Ave NW,,1/4/2020,1/4/2020,1,0,0,0,"","","","",,
1/5/2020,Obstruction,813 Western Ave,,1/5/2020,1/5/2020,1,0,0,0,"","","","",,
1/6/2020,Obstruction,Lucille St.,,1/6/2020,1/6/2020,0,1,0,0,"","","","",,
1/6/2020,Litter Pick,3rd and Prefontaine,,1/6/2020,1/6/2020,0,0,0,0,"","","","",,
1/6/2020,Litter Pick,1st  and Main,,1/6/2020,1/6/2020,0,0,0,0,"","","","",,
1/6/2020,Litter Pick,3rd and Prefontaine,,1/6/2020,1/6/2020,0,0,0,0,"","","","",,
1/6/2020,Litter Pick,3rd and Main,,1/6/2020,1/6/2020,0,0,0,0,"","","","",,
1/6/2020,Litter Pick,I-5 NB NE 42nd to NE 55th St,,1/6/2020,1/6/2020,0,0,0,0,"","","","",,
1/6/2020,Obstruction,Pratt Park 1800 S. Main St. 98144,,1/6/2020,1/6/2020,2,0,0,0,"","","","",,
1/6/2020,Obstruction,4th and Yesler,,1/6/2020,1/6/2020,2,0,4,0,"","","","",,
1/7/2020,Litter Pick,4th Ave and Yesler Way,,1/7/2020,1/7/2020,0,0,0,0,"","","","",,
1/7/2020,Litter Pick,Prefontaine Park,,1/7/2020,1/7/2020,0,0,0,0,"","","","",,
1/7/2020,Obstruction,Ballard Commons Park,,1/7/2020,1/7/2020,0,1,0,0,"","","","",,
1/7/2020,Obstruction,Utah Ave S and  S Alaska St,,1/7/2020,1/7/2020,1,1,0,0,"","","","",,
1/7/2020,Obstruction,Queen Anne GB West  (Galer Flyover),,1/7/2020,1/7/2020,2,0,0,0,0,0,0,0,,
1/7/2020,Obstruction,Queen Anne GB West,,1/7/2020,1/7/2020,2,0,0,0,"","","","",,
1/7/2020,"",5th Ave and Virginia St,,1/7/2020,1/7/2020,0,0,0,0,"","","","",,
1/8/2020,Hazard,7th Ave S and S Main St,,1/8/2020,1/9/2020,0,0,0,0,"","","","",,
1/8/2020,Litter Pick,4th Ave and Yesler Way,,1/8/2020,1/8/2020,0,0,0,0,"","","","",,
1/8/2020,Litter Pick,S Snoqualmie St and Airport Way S,,1/8/2020,1/8/2020,0,0,0,0,"","","","",,
1/8/2020,Litter Pick,I-5 NB Dearborn St off-ramp,,1/8/2020,1/8/2020,0,0,0,0,"","","","",,
1/8/2020,Litter Pick,Pioneer Square Pergola,,1/8/2020,1/8/2020,0,0,0,0,"","","","",,
1/8/2020,Obstruction,Ballard Library,,1/8/2020,1/8/2020,0,0,3,0,"","","","",,
1/8/2020,Obstruction,NW 50th and 14th Ave NW,,1/8/2020,1/8/2020,7,0,0,0,"","","","",,
1/9/2020,Obstruction,1st Ave N and Mercer St,,1/8/2020,1/8/2020,3,0,0,0,"","","","",,
1/9/2020,Litter Pick,4th Ave and Yesler Way,,1/9/2020,1/9/2020,"","","","",0,0,0,0,,
1/9/2020,Litter Pick,5th Ave and Yesler Way,,1/9/2020,1/9/2020,"","","","",0,0,0,0,,
1/9/2020,Obstruction,200 block of Elliot Ave N,,1/9/2020,1/9/2020,1,0,0,0,"","","","",,
1/9/2020,Obstruction,Mercer St and Warren Ave N,,1/9/2020,1/9/2020,4,0,0,0,"","","","",,
1/9/2020,Obstruction,Rainier Ave S and S Bayview St,,1/9/2020,1/9/2020,0,1,0,0,"","","","",,
1/10/2020,Litter Pick,5th Ave NE and NE Mapleleaf Pl,,1/10/2020,1/10/2020,"","","","",0,0,0,0,,
1/10/2020,Litter Pick,5th Ave and Yesler Way,,1/10/2020,1/10/2020,"","","","",0,0,0,0,,
1/10/2020,Litter Pick,I-5 NB Dearborn St off-ramp,,1/10/2020,1/10/2020,0,0,0,0,"","","","",,
1/10/2020,Litter Pick *No Inspection,S Dearborn St and 10th Ave S I-5 NB off ramp,,1/10/2020,1/10/2020,"","","","",0,0,0,0,,
1/10/2020,Obstruction,1st Ave to 3rd Ave and Main St,,1/10/2020,1/10/2020,2,2,0,0,"","","","",,
1/11/2020,Litter Pick,Thornton Creek,,1/11/2020,1/11/2020,0,0,0,0,"","","","",,
1/11/2020,Litter Pick *No Inspection,Harborview Emphasis Zone,,1/11/2020,1/11/2020,"","","","",0,0,0,0,,
1/11/2020,Obstruction,Beaver Pond 540  NE 104th St. 98125,,1/11/2020,1/11/2020,1,0,0,0,"","","","",,
1/11/2020,Obstruction,4th Ave and Yesler Way,,1/11/2020,1/11/2020,2,1,0,0,"","","","",,
1/11/2020,Obstruction,Meriden Park,,1/11/2020,1/11/2020,1,0,1,0,"","","","",,
1/11/2020,Obstruction,Ballard Commons Park 5701 22nd Ave NW 98107,,1/11/2020,1/11/2020,2,0,0,0,"","","","",,
1/12/2020,Litter Pick,City Hall Park 450 Third Ave 98104,,1/12/2020,1/12/2020,0,0,0,0,"","","","",,
1/12/2020,Obstruction,6th and 7 Ave from Columbia To Jefferson,,1/12/2020,1/12/2020,0,2,1,0,"","","","",,
1/12/2020,Obstruction,23 Ave S. and S. Grand St.,,1/12/2020,1/12/2020,1,0,0,0,"","","","",,
1/12/2020,Obstruction,MLK Mem Park 2200 MLk Way S. 98144,,1/12/2020,1/12/2020,1,0,0,0,"","","","",,
1/12/2020,Obstruction,Amy Yee Tennis Center 2000 MLK Jr Way s. 98144,,1/12/2020,1/12/2020,1,0,0,0,"","","","",,
1/12/2020,Obstruction,4th and Yesler,,1/12/2020,1/12/2020,0,0,1,0,"","","","",,
1/13/2020,Litter Pick,Yesler Terrace-Harborview Emphasis Area,,1/13/2020,1/13/2020,0,0,0,0,"","","","",,
1/13/2020,Litter Pick,Airport Way S and S Snoqualmie St,,1/13/2020,1/13/2020,0,0,0,0,"","","","",,
1/13/2020,Litter Pick,S Holgate St and 3rd Ave S,,1/13/2020,1/13/2020,0,0,0,0,"","","","",,
1/13/2020,Litter Pick,1st Ave S and S Mead St,,1/13/2020,1/13/2020,0,0,0,0,"","","","",,
1/13/2020,Litter Pick,I-5 NB Dearborn St off-ramp,,1/13/2020,1/13/2020,0,0,0,0,"","","","",,
1/14/2020,Litter Pick,N 130th St and Linden Ave N,,1/14/2020,1/14/2020,0,0,0,0,"","","","",,
1/14/2020,Litter Pick,5th Ave and Yesler Way,,1/14/2020,1/14/2020,0,0,0,0,"","","","",,
1/14/2020,Obstruction,4th Ave and Yesler Way,,1/14/2020,1/14/2020,0,0,1,0,"","","","",,
1/14/2020,Obstruction,S Lane St and 13th Ave S (Navigation Center Stairs),,1/14/2020,1/14/2020,1,0,0,0,"","","","",,
1/14/2020,"",1st Ave S and S Main St,,1/14/2020,1/14/2020,0,0,0,0,"","","","",,
1/15/2020,Litter Pick,4th Ave and Yesler Way,,1/15/2020,1/15/2020,"","","","",0,0,0,0,,
1/15/2020,Litter Pick *No Inspection,3rd Ave and Yesler Way Prefontaine fountain,,1/15/2020,1/15/2020,0,0,0,0,"","","","",,
1/15/2020,Obstruction,6th Ave to 7th Ave from Columbia St to Jefferson St,,1/15/2020,1/15/2020,0,0,4,0,"","","","",,
1/16/2020,Litter Pick,SR 99 and S Dearborn St,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Litter Pick,1st Ave S and Denver Ave S,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Litter Pick,I-5 NB and Dearborn St off-ramp,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Litter Pick,International District and I-5 Emphasis Area,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Litter Pick,10th Ave S and S Dearborn St,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Litter Pick,Pioneer Square Park 100 Yesler Way 98104,,1/16/2020,1/16/2020,0,0,0,0,"","","","",,
1/16/2020,Obstruction,6th and 7 Ave from Columbia To Jefferson,,1/16/2020,1/16/2020,0,0,3,0,"","","","",,
1/16/2020,Obstruction,4th and Yesler,,1/16/2020,1/16/2020,0,0,1,0,"","","","",,
1/17/2020,Hazard,I-5 express lane at Pine St exit,,1/17/2020,1/17/2020,1,0,0,0,"","","","",,
1/17/2020,Litter Pick,6th Ave to 7th Ave from Columbia St to Jefferson St,,1/17/2020,1/17/2020,0,0,0,0,"","","","",,
