FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
700,Point,701,1,700,701,207-12,Under Ballard Bridge 15th Ave NW and  Leary Way NW,SDOT,North,Camping,4/13/2015,4/15/2015,<Null>,4/17/2015,4/17/2015,47.663662,-122.376072,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
1867,Point,1868,1,1867,1868,385-07,9th Ave NW & NW 48th Street,SDOT,North,Camping,10/23/2015,10/26/2015,<Null>,10/27/2015,10/27/2015,47.663653,-122.368612,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
3110,Point,3111,1,3110,3111,845-01,15 Ave NW & Ballard Way,SDOT,North,Camping,10/17/2014,11/24/2014,11/24/2014,12/1/2014,12/1/2014,47.662902,-122.375797,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
1790,Point,1791,1,1790,1791,372-01,NW 54th St & 32nd Ave NW,SDOT,North,Camping,2/27/2013,2/28/2013,2/28/2013,3/4/2013,3/5/2013,47.667539,-122.398313,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
1793,Point,1794,1,1793,1794,372-04,NW 54th St & 32nd Ave NW,SDOT,North,Encampment,11/13/2015,11/18/2015,11/18/2015,11/23/2015,11/24/2015,47.667539,-122.398313,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
1956,Point,1957,1,1956,1957,411-01,15th Ave NW and Leary Way NW - under Ballard Bridge,SDOT,North,Camping,1/24/2012,1/26/2012,1/26/2012,2/6/2012,2/7/2012,47.663665,-122.376409,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
2283,Point,2284,1,2283,2284,510-03,Ballard Bridge north end,SDOT,North,Camping,10/21/2013,<Null>,<Null>,10/28/2013,10/29/2013,47.661399,-122.376237,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
2284,Point,2285,1,2284,2285,510-04,Ballard Bridge north end,SDOT,North,Camping,11/25/2013,<Null>,12/2/2013,12/5/2013,12/6/2013,47.661399,-122.376237,28,22431280,27347.494,30,129,Adams,BALLARD,7,11,33
1650,Point,1651,1,1650,1651,335-02,Under I-5 @ on So King St.,WSDOT,West,Camping,8/21/2012,8/28/2012,<Null>,8/27/2012,8/28/2012,47.597974,-122.309589,58,20664986,25426.23,60,165,Atlantic,CENTRAL AREA,14,8,24
298,Point,299,1,298,299,113-05,2211 Elliott Ave - Hwy 99 ramp,SDOT,West,Camping,2/11/2013,2/12/2013,2/12/2013,2/14/2013,2/15/2013,47.611777,-122.347194,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
1716,Point,1717,1,1716,1717,351-08,1811 Eastlake Ave,SDOT,West,Camping,1/30/2014,1/31/2014,2/3/2014,2/6/2014,2/7/2014,47.618372,-122.329545,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
1723,Point,1724,1,1723,1724,351-15,1811 Eastlake Ave,SDOT,West,Camping,5/1/2015,5/7/2015,5/7/2015,5/11/2015,5/12/2015,47.618372,-122.329545,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
2709,Point,2710,1,2709,2710,678-02,I-5 & Olive Way/Melrose,WSDOT,East,Camping,8/28/2015,1/26/2016,1/28/2016,2/2/2016,2/3/2016,47.61267,-122.337484,60,14974037,21967.6,62,156,Belltown,DOWNTOWN,13,11,81
2191,Point,2192,1,2191,2192,479-01,Summit Slope Park,Parks,East,Camping,8/9/2012,8/14/2012,<Null>,8/13/2012,8/14/2012,47.619695,-122.325287,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
2811,Point,2812,1,2811,2812,719-01,710 10th Ave E,SDOT,East,Camping,5/6/2014,5/6/2014,5/6/2014,5/8/2014,5/9/2014,47.625682,-122.319882,100,30239240,26851.947,102,151,Broadway,CAPITOL HILL,11,3,0
666,Point,667,1,666,667,199-04,Ravenna Park,Parks,North,Camping,9/11/2014,9/16/2014,9/17/2014,9/19/2014,9/20/2014,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1218,Point,1219,1,1218,1219,244-04,Ballard Bridge south end,SDOT,West,Camping,10/25/2013,10/25/2013,<Null>,10/28/2013,10/29/2013,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1384,Point,1385,1,1384,1385,256-02,I-5 on-ramp NB at NE 50th Street,SDOT,North,Encampment,1/11/2016,1/7/2016,1/3/2016,1/6/2016,1/7/2016,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1485,Point,1486,1,1485,1486,278-01,Cheasty Blvd NW Slope,Parks,South,Encampment,9/8/2010,9/15/2010,9/15/2010,9/22/2010,9/23/2010,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1533,Point,1534,1,1533,1534,297-01,100 block Marion Street,SDOT,West,Camping,11/30/2010,12/3/2010,<Null>,12/2/2010,12/3/2010,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
1665,Point,1666,1,1665,1666,34-04,NW Leary Way Triangle,SDOT,North,Camping,10/22/2013,10/25/2013,<Null>,10/28/2013,10/29/2013,47.605078,-122.329974,62,9477399,18209.463,64,159,Central Business District,DOWNTOWN,13,11,95
