Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1666,3/9/2022,5th & Yesler,T1-KQR-0309,"Blue grey sundome tent, Green brown camoflague tent, Blue colemant mattress pad, Grey golden bear sleeping bag, Blue green tarp, Blue tarp, Backpack brace, tent poles, Coleman sleeping bag cover with grey blanket inside, Brown green hat, Orange grey socks, Blue short sleeve shirt, Red underwear, Black long john pants, 2 pairs black socks, Black skull cap",,70 Days,5/18/2022,Yes,
1667,3/10/2022,4th Ave & Yesler,T1-JL-0310,"Red sleeping bag, Green tent with poles, Red blue scarf, 2 knit hats",,70 Days,5/19/2022,Yes,
1670,3/17/2022,S Jackson St from 8th Ave S to 10th Ave S,T1-JL-0317,White and green tent with poles,,70 Days,5/26/2022,Yes,
1669,3/18/2022,Roxhill Park,T1-KQR-0318,"Pair of Charles Albert women black boots, White hamilton beach iron, pair of white female Sam Edelman boots, White Samsung cell phone, Black and silver cell phone, head phones, pair of Brown Navados work boots, pair of Red handled bolt cutter, Blue tarp with small hole",,70 Days,5/27/2022,Yes,
1672,3/25/2022,10th & Dearborn St,T16-JL-0325,"Camo bag with Blue jacket, green jacket, Red blue blanket, misc clothes",,70 Days,6/3/2022,Yes,
1674,4/6/2022,Broadway Hill Park,T2-JL-0406,Guitar with no strings,,70 Days,6/15/2022,Yes,
1675-1,4/18/2022,Gilman Park,,Arriba Novara blue with green front forks mountain bike,1,70 Days,6/27/2022,Yes,
1668,4/20/2022,Cal Anderson Park,T1-KQR-0420,"Green white Colman tent, Green camoflauge tarp, White pillow, Purple pillow case, Black blanket with red pepper images, Black Orange Brown blanket, Blue bag with tent poles inside, Red puma shoes, Brown kenneth cole shoes, Black free country jacket, Blue black scarf, White black scarf, Black puma underwear, Green blue fruit of looms pajamas, Black eddy bauer sweat pants, Grey andrew marc hooded jacket, Blue starter shorts, Grey addeas sweat pants, Blue tee shert with eagle emblem, Grey teek short, White envelope with paperwork inside, Green white seahawk skull cap, Black umbrella, Silver colered flash light, Red tyee sports bag, Black notebook, Olive sweat shirt, Grey seahawk hoodie, Grey eddie bauer sweat pants, 2 White tee shirts, 1-24 case water, Beats by dre pouch no head phones, Silver folding knife head light",,70 Days,6/29/2022,No,
1675-2,4/22/2022,Greenlake Park (Community Center),T1-JL-0422,"Black Jacket, Gray sweat pants, Black sneakers, Green pants, Gray pants, Red skirt",,70 Days,7/1/2022,Yes,
1676,5/4/2022,2nd Ave & Lenora St,T1-KJ-0504,"Set of cruthes, Brown blanket, Grey sheet, Grey blue ten",,70 Days,7/13/2022,Yes,
1681,5/10/2022,Woodland Park,T13-KJ-0510,"Red black backpack, Grey black backpack, Black backpack, Green black backpack, Blue black backpack, Blue black duffel bag",,70 Days,7/19/2022,Yes,
1682,5/10/2022,Woodland Park,T3-KJ-0510,Blue white golden bear tent,,70 Days,7/19/2022,Yes,
